state,chlamydia count,chlamydia rank,,,,,,,,,,
Alabama,29464,611,14,3,8377,173.7,12,2,183,3.8,25,19
Alaska,5774,789.4,39,1,1128,154.2,38,4,23,3.1,42,24
Arizona,30564,466.4,12,18,6412,97.8,19,25,287,4.4,15,15
Arkansas,15447,523.8,29,8,4007,135.9,26,11,177,6,26,10
California,167346,439.9,1,23,38166,100.3,1,22,3532,9.3,1,2
Colorado,20386,393,24,33,2820,54.4,30,38,163,3.1,27,24
Connecticut,12775,355.8,31,40,2860,79.7,29,30,56,1.6,34,31
Delaware,5213,568.4,41,6,1390,151.6,36,6,52,5.7,35,11
Florida,80182,415.1,4,27,20818,107.8,3,18,1513,7.8,2,4
Georgia,51070,514.8,8,9,14252,143.7,7,8,1017,10.3,5,1
Hawaii,6640,476.9,38,15,718,51.6,42,39,46,3.3,37,23
Idaho,5428,340.2,40,44,211,13.2,47,48,15,0.9,43,32
Illinois,63797,495.5,5,12,16464,127.9,6,13,798,6.2,6,9
Indiana,28023,428.7,17,24,7144,109.3,16,16,215,3.3,21,23
Iowa,10953,356.3,35,39,1472,47.9,35,40,106,3.4,30,22
Kansas,11012,381.6,34,35,2161,74.9,32,32,51,1.8,36,29
Kentucky,17134,391.2,28,34,4315,98.5,25,23,122,2.8,28,25
Louisiana,28739,624.5,15,2,8669,188.4,11,1,423,9.2,11,3
Maine,3438,258.7,46,49,245,18.4,45,46,10,0.8,45,33
Maryland,26723,454.1,19,20,5989,101.8,20,20,456,7.7,9,5
Massachusetts,23210,349.2,23,41,3106,46.7,28,41,360,5.4,13,12
Michigan,44835,453.6,10,22,10569,106.9,10,19,487,4.9,7,14
Minnesota,18742,348.4,25,42,3873,72,27,34,193,3.6,24,21
Mississippi,17464,585.1,27,5,5096,170.7,22,3,78,2.6,32,26
Missouri,27328,453.8,18,21,7546,125.3,13,14,251,4.2,19,17
Montana,3818,379.8,45,36,224,22.3,46,45,5,0.5,46,34
Nebraska,7301,393.5,37,32,1385,74.6,37,33,41,2.2,40,27
Nevada,11781,427,33,25,2714,98.4,31,24,205,7.4,23,7
New Hampshire,3119,236.2,47,50,121,9.2,48,50,28,2.1,41,28
New Jersey,28327,319.6,16,45,7014,79.1,17,31,233,2.6,20,26
New Mexico,12249,587.3,32,4,1918,92,33,27,78,3.7,32,20
New York,95803,489.5,3,13,19919,101.8,4,21,1459,7.5,4,6
North Carolina,48416,496.5,9,11,13666,140.1,9,9,404,4.1,12,18
North Dakota,2932,419.1,48,26,492,70.3,43,35,12,1.7,44,30
Ohio,53121,460.2,6,19,16619,144,5,7,436,3.8,10,19
Oklahoma,18278,479.1,26,14,5303,139,21,10,118,3.1,29,24
Oregon,14181,363.7,30,37,1729,44.3,34,42,267,6.8,18,8
Pennsylvania,52056,407.8,7,30,13874,108.7,8,17,471,3.7,8,20
Rhode Island,4312,410.6,43,29,454,43.2,44,43,45,4.3,38,16
South Carolina,25594,541.8,20,7,7194,152.3,15,5,271,5.7,17,11
South Dakota,3927,471.2,44,16,784,94.1,41,26,44,5.3,39,13
Tennessee,30370,470.4,13,17,7376,114.2,14,15,214,3.3,22,23
Texas,129861,498.3,2,10,33835,129.8,2,12,1475,5.7,3,11
Utah,7535,263.9,36,48,951,33.3,40,44,74,2.6,33,26
Vermont,1842,294.2,50,46,97,15.5,49,47,3,0.5,47,34
Virginia,33316,407,11,31,6952,84.9,18,28,315,3.8,14,19
Washington,24950,361.8,21,38,4369,63.3,24,36,284,4.1,16,18
West Virginia,5139,277,42,47,1063,57.3,39,37,15,0.8,43,33
Wisconsin,23572,411.6,22,28,4599,80.3,23,29,95,1.7,31,30
Wyoming,2005,347.8,49,43,66,11.5,50,49,1,0.2,48,35